game_id,date,home_team,away_team,model,side,edge,kalshi_price,model_prob,home_win,outcome,pnl
22500537,2026-01-09,Denver Nuggets,Atlanta Hawks,M3,buy,0.1141,0.44,0.5541,0,0,-22.0
22500538,2026-01-09,Phoenix Suns,New York Knicks,M3,buy,0.1242,0.49,0.6142,1,1,23.715
22500541,2026-01-09,Los Angeles Lakers,Milwaukee Bucks,M3,sell,-0.1362,0.6,0.4638,0,1,27.9
22500545,2026-01-10,Boston Celtics,San Antonio Spurs,M3,buy,0.0856,0.5,0.5856,0,0,-25.0
22500544,2026-01-10,Detroit Pistons,LA Clippers,M3,buy,0.1605,0.54,0.7005,0,0,-27.0
22500542,2026-01-10,Cleveland Cavaliers,Minnesota Timberwolves,M3,sell,-0.0636,0.57,0.5064,1,0,-21.5
22500550,2026-01-11,Toronto Raptors,Philadelphia 76ers,M3,buy,0.1642,0.47,0.6342,1,1,24.645
22500552,2026-01-11,Minnesota Timberwolves,San Antonio Spurs,M3,sell,-0.1084,0.57,0.4616,1,0,-21.5
22500560,2026-01-12,Toronto Raptors,Philadelphia 76ers,M3,buy,0.3001,0.43,0.7301,0,0,-21.5
22500567,2026-01-13,New Orleans Pelicans,Denver Nuggets,M3,sell,-0.132,0.44,0.308,0,1,20.46
22500569,2026-01-13,Los Angeles Lakers,Atlanta Hawks,M3,buy,0.0871,0.51,0.5971,1,1,22.785
22500574,2026-01-14,New Orleans Pelicans,Brooklyn Nets,M3,sell,-0.1453,0.5,0.3547,1,0,-25.0
22500571,2026-01-14,Indiana Pacers,Toronto Raptors,M3,sell,-0.2522,0.53,0.2778,0,1,24.645
22500580,2026-01-15,Miami Heat,Boston Celtics,M3,sell,-0.0725,0.44,0.3675,0,1,20.46
22500581,2026-01-15,Houston Rockets,Oklahoma City Thunder,M3,buy,0.1274,0.4,0.5274,0,0,-20.0
22500583,2026-01-15,Dallas Mavericks,Utah Jazz,M3,buy,0.1054,0.56,0.6654,1,1,20.46
22500585,2026-01-15,Portland Trail Blazers,Atlanta Hawks,M3,buy,0.0856,0.41,0.4956,1,1,27.435
22500589,2026-01-16,Philadelphia 76ers,Cleveland Cavaliers,M3,sell,-0.1057,0.57,0.4643,0,1,26.505
22500596,2026-01-17,New York Knicks,Phoenix Suns,M3,sell,-0.0914,0.51,0.4186,0,1,23.715
